상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,표준산업분류명,시도명,시군구명,행정동명,법정동명,행정동코드,법정동코드,지번주소,도로명주소,신우편번호,경도,위도
숙성1퍼센트,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,노형동,노형동,5011066000,5011012200,제주특별자치도 제주시 노형동 3785-3,제주특별자치도 제주시 노형10길 25,63083,126.4798935,33.48333476
광어탐나도,음식,일식/수산물,횟집,한식 음식점업,제주특별자치도,제주시,이도2동,이도이동,5011054000,5011010400,제주특별자치도 제주시 이도이동 76-15,제주특별자치도 제주시 연신로 87-6,63228,126.5498746,33.49410884
어머니몸국,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,조천읍,조천읍,5011025900,5011025923,제주특별자치도 제주시 조천읍 조천리 2360-2,제주특별자치도 제주시 조천읍 신북로 245,63331,126.638489,33.53738072
현의산책,숙박,캠프/별장/펜션,캠프/별장/펜션,기타 관광숙박시설 운영업,제주특별자치도,서귀포시,성산읍,성산읍,5013025900,5013025926,제주특별자치도 서귀포시 성산읍 온평리 128-1,제주특별자치도 서귀포시 성산읍 온평관전로59번길 49,63633,126.9060689,33.41461712
부산서면,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,연동,연동,5011065000,5011013700,제주특별자치도 제주시 연동 274-8,제주특별자치도 제주시 연동8길 10,63133,126.4904387,33.48512256
나무,음식,커피점/카페,전통찻집/인삼찻집,비알콜 음료점업,제주특별자치도,제주시,조천읍,조천읍,5011025900,5011025930,제주특별자치도 제주시 조천읍 선흘리 468-12,제주특별자치도 제주시 조천읍 선교로 560,63341,126.710438,33.45618638
우도회초밥,음식,일식/수산물,음식점-초밥전문,일식 음식점업,제주특별자치도,제주시,우도면,우도면,5011033000,5011033021,제주특별자치도 제주시 우도면 연평리 2427-3,제주특별자치도 제주시 우도면 우도해안길 336,63365,126.9438769,33.50814681
탐나라망고농장,소매,음/식료품소매,청과물소매,과실 및 채소 소매업,제주특별자치도,서귀포시,대정읍,대정읍,5013025000,5013025027,제주특별자치도 서귀포시 대정읍 신평리 1441-1,제주특별자치도 서귀포시 대정읍 일주서로3000번길 294-11,63516,126.2421898,33.26636353
한라산청정둘레벌꿀,소매,음/식료품소매,청과물소매,과실 및 채소 소매업,제주특별자치도,서귀포시,남원읍,남원읍,5013025300,5013025329,제주특별자치도 서귀포시 남원읍 신례리 973-1,제주특별자치도 서귀포시 남원읍 신례로 266,63608,126.630732,33.28837214
참숯나라,음식,한식,갈비/삼겹살,한식 음식점업,제주특별자치도,서귀포시,대천동,강정동,5013060000,5013011600,제주특별자치도 서귀포시 강정동 148-8,제주특별자치도 서귀포시 신서로52번길 22,63566,126.5068765,33.25510132
더들집,숙박,캠프/별장/펜션,캠프/별장/펜션,기타 관광숙박시설 운영업,제주특별자치도,제주시,구좌읍,구좌읍,5011025600,5011025621,제주특별자치도 제주시 구좌읍 동복리 1607,제주특별자치도 제주시 구좌읍 동복로1길 23-3,63347,126.7128798,33.55431486
빨간궁전,숙박,캠프/별장/펜션,캠프/별장/펜션,기타 관광숙박시설 운영업,제주특별자치도,제주시,애월읍,애월읍,5011025300,5011025334,제주특별자치도 제주시 애월읍 애월리 21,제주특별자치도 제주시 애월읍 고내봉길 42-9,63044,126.3352562,33.45937921
해맞이동산,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,서귀포시,표선면,표선면,5013032000,5013032023,제주특별자치도 서귀포시 표선면 성읍리 2060-1,제주특별자치도 서귀포시 표선면 번영로 2658-2,63624,126.7872147,33.39829273
진산,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,일도2동,일도이동,5011052000,5011010200,제주특별자치도 제주시 일도이동 138-17,제주특별자치도 제주시 동문로 146,63250,126.5419058,33.51307462
웅담,음식,한식,기타고기요리,한식 음식점업,제주특별자치도,제주시,한림읍,한림읍,5011025000,5011025024,제주특별자치도 제주시 한림읍 한림리 1587-2,제주특별자치도 제주시 한림읍 한림로5길 23,63032,126.2614162,33.4147132
흙집휴펜션,숙박,캠프/별장/펜션,캠프/별장/펜션,기타 관광숙박시설 운영업,제주특별자치도,제주시,애월읍,애월읍,5011025300,5011025325,제주특별자치도 제주시 애월읍 수산리 1319-1,제주특별자치도 제주시 애월읍 하소로 302,63056,126.3901455,33.45578577
케이마트정육코너,소매,음/식료품소매,정육점,육류 소매업,제주특별자치도,제주시,노형동,노형동,5011066000,5011012200,제주특별자치도 제주시 노형동 1059-5,제주특별자치도 제주시 정존11길 36,63099,126.4747343,33.48672436
월계,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,아라동,월평동,5011063000,5011013500,제주특별자치도 제주시 월평동 1088-2,제주특별자치도 제주시 월평1길 8,63311,126.5737968,33.47171171
신세계농수산,소매,음/식료품소매,수산물소매,수산물 소매업,제주특별자치도,제주시,노형동,노형동,5011066000,5011012200,제주특별자치도 제주시 노형동 931-1,제주특별자치도 제주시 원노형6길 3-4,63082,126.4833758,33.48539694
우현청과,소매,음/식료품소매,청과물소매,과실 및 채소 소매업,제주특별자치도,제주시,화북동,화북이동,5011060000,5011011200,제주특별자치도 제주시 화북이동 2979-18,제주특별자치도 제주시 황사평6길 69-1,63305,126.5612099,33.4938443
섬집오후,숙박,캠프/별장/펜션,캠프/별장/펜션,기타 관광숙박시설 운영업,제주특별자치도,제주시,조천읍,조천읍,5011025900,5011025923,제주특별자치도 제주시 조천읍 조천리 3083,제주특별자치도 제주시 조천읍 조천7길 19-11,63331,126.6343304,33.53824553
세흥장식,음식,한식,갈비/삼겹살,한식 음식점업,제주특별자치도,제주시,일도2동,일도이동,5011052000,5011010200,제주특별자치도 제주시 일도이동 981-24,제주특별자치도 제주시 동문로 96,63266,126.5368466,33.51375425
제주부씨시무공계종친회,소매,음/식료품소매,청과물소매,과실 및 채소 소매업,제주특별자치도,제주시,애월읍,애월읍,5011025300,5011025325,제주특별자치도 제주시 애월읍 수산리 272,제주특별자치도 제주시 애월읍 예원남1길 69-1,63056,126.396877,33.45995706
스타성여관,숙박,모텔/여관/여인숙,모텔/여관/여인숙,여관업,제주특별자치도,서귀포시,천지동,서귀동,5013054000,5013010100,제주특별자치도 서귀포시 서귀동 308-5,제주특별자치도 서귀포시 중앙로71번길 15-4,63592,126.5597753,33.25021643
메이플해피하우스펜션,숙박,캠프/별장/펜션,캠프/별장/펜션,기타 관광숙박시설 운영업,제주특별자치도,제주시,한림읍,한림읍,5011025000,5011025027,제주특별자치도 제주시 한림읍 명월리 1619-2,제주특별자치도 제주시 한림읍 명월로 108,63014,126.2675205,33.38393884
한거리푸줏간,음식,한식,기타고기요리,한식 음식점업,제주특별자치도,제주시,구좌읍,구좌읍,5011025600,5011025626,제주특별자치도 제주시 구좌읍 월정리 468-1,제주특별자치도 제주시 구좌읍 월정3길 49,63358,126.7944354,33.55540641
영산강가마솥,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,아라동,아라이동,5011063000,5011011800,제주특별자치도 제주시 아라이동 1474-1,제주특별자치도 제주시 중앙로 437,63246,126.5438303,33.48428289
블랑블루펜션,숙박,캠프/별장/펜션,캠프/별장/펜션,기타 관광숙박시설 운영업,제주특별자치도,서귀포시,남원읍,남원읍,5013025300,5013025321,제주특별자치도 서귀포시 남원읍 남원리 91-7,제주특별자치도 서귀포시 남원읍 남태해안로 135,63621,126.7196621,33.27825706
세인트포클럽하우스,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,구좌읍,구좌읍,5011025600,5011025634,제주특별자치도 제주시 구좌읍 김녕리 5160-2,제주특별자치도 제주시 구좌읍 선유로 445-55,63348,126.7386655,33.52053589
레이크휴게소,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,애월읍,애월읍,5011025300,5011025336,제주특별자치도 제주시 애월읍 어음리 3914,제주특별자치도 제주시 애월읍 평화로 1738-116,63041,126.3799682,33.37140239
대성슈퍼&엘버,소매,음/식료품소매,유과판매,빵 및 과자류 소매업,제주특별자치도,서귀포시,정방동,서귀동,5013052000,5013010100,제주특별자치도 서귀포시 서귀동 404,제주특별자치도 서귀포시 중정로 84,63595,126.5652808,33.24820636
억수,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,화북동,화북일동,5011060000,5011011100,제주특별자치도 제주시 화북일동 1966-14,제주특별자치도 제주시 진남로8길 25,63289,126.566851,33.52111029
유달,음식,중식,중국음식/중국집,중식 음식점업,제주특별자치도,서귀포시,효돈동,하효동,5013055000,5013010800,제주특별자치도 서귀포시 하효동 314,제주특별자치도 서귀포시 일주동로 8106,63606,126.6205906,33.26221224
그랑빌가족호텔,숙박,모텔/여관/여인숙,모텔/여관/여인숙,여관업,제주특별자치도,서귀포시,예래동,색달동,5013062000,5013011900,제주특별자치도 서귀포시 색달동 2512,제주특별자치도 서귀포시 중문관광로 17,63534,126.415318,33.25637539
엉덩물물회,음식,일식/수산물,횟집,한식 음식점업,제주특별자치도,제주시,연동,연동,5011065000,5011013700,제주특별자치도 제주시 연동 291-116,제주특별자치도 제주시 성두길 7-7,63125,126.4949642,33.49096568
제주통큰장어,음식,일식/수산물,민물장어전문,한식 음식점업,제주특별자치도,제주시,이도2동,이도이동,5011054000,5011010400,제주특별자치도 제주시 이도이동 410,제주특별자치도 제주시 청귤로3길 50,63218,126.5421853,33.50154677
오래해장국,음식,한식,해장국/감자탕,한식 음식점업,제주특별자치도,제주시,도두동,도두일동,5011069000,5011012700,제주특별자치도 제주시 도두일동 2556-1,제주특별자치도 제주시 서해안로 168-1,63112,126.4667354,33.50407091
중문느영쉼터,소매,음/식료품소매,수산물소매,수산물 소매업,제주특별자치도,서귀포시,예래동,상예동,5013062000,5013012000,제주특별자치도 서귀포시 상예동 4642-2,제주특별자치도 서귀포시 존제로15번길 10-13,63534,126.3757402,33.26459196
더클래식골프앤리조트,음식,양식,정통양식/경양식,서양식 음식점업,제주특별자치도,서귀포시,남원읍,남원읍,5013025300,5013025324,제주특별자치도 서귀포시 남원읍 수망리 산191,제주특별자치도 서귀포시 남원읍 남조로 1105,63615,126.6799267,33.37065426
늘푸른,소매,음/식료품소매,청과물소매,과실 및 채소 소매업,제주특별자치도,제주시,아라동,영평동,5011063000,5011013600,제주특별자치도 제주시 영평동 944-6,제주특별자치도 제주시 영평길 151,63308,126.573495,33.48749496
헤브론농산물,소매,음/식료품소매,청과물소매,과실 및 채소 소매업,제주특별자치도,서귀포시,대륜동,호근동,5013059000,5013010400,제주특별자치도 서귀포시 호근동 479-3,제주특별자치도 서귀포시 태평로 119,63571,126.5356005,33.24435314
제주컨벤션,소매,음/식료품소매,청과물소매,과실 및 채소 소매업,제주특별자치도,서귀포시,중문동,대포동,5013061000,5013011400,제주특별자치도 서귀포시 대포동 1696-2,제주특별자치도 서귀포시 중문관광로 290,63544,126.4295268,33.24613328
동수식당,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,서귀포시,대정읍,대정읍,5013025000,5013025025,제주특별자치도 서귀포시 대정읍 일과리 1294,제주특별자치도 서귀포시 대정읍 일과대수로27번길 16-2,63504,126.2297879,33.23902372
백통신원리조트휴양콘도미니엄,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,서귀포시,남원읍,남원읍,5013025300,5013025327,제주특별자치도 서귀포시 남원읍 위미리 4626,제주특별자치도 서귀포시 남원읍 서성로 459-1,63609,126.6396179,33.33005228
낙지마당,음식,일식/수산물,낙지/오징어,한식 음식점업,제주특별자치도,서귀포시,대륜동,서호동,5013059000,5013010300,제주특별자치도 서귀포시 서호동 1462-2,제주특별자치도 서귀포시 신중로 73,63565,126.5131553,33.25440118
제주에서놀멍쉬멍살아보자제놀쉬,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,이호동,이호일동,5011068000,5011012500,제주특별자치도 제주시 이호일동 1700-6,제주특별자치도 제주시 테우해안로 164,63111,126.451456,33.49670443
대춘해장국,음식,한식,해장국/감자탕,한식 음식점업,제주특별자치도,제주시,이도2동,도남동,5011054000,5011012900,제주특별자치도 제주시 도남동 380-2,제주특별자치도 제주시 연북로 398,63235,126.5239381,33.48036911
이브,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,연동,연동,5011065000,5011013700,제주특별자치도 제주시 연동 262-3,제주특별자치도 제주시 신광로 50,63131,126.4898574,33.48762183
동승호,음식,일식/수산물,횟집,한식 음식점업,제주특별자치도,제주시,이도2동,도남동,5011054000,5011012900,제주특별자치도 제주시 도남동 922-13,제주특별자치도 제주시 신성로7길 16,63200,126.528301,33.49657722
돈물,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,건입동,건입동,5011059000,5011010700,제주특별자치도 제주시 건입동 1090-1,제주특별자치도 제주시 연무정동길 2,63282,126.5354754,33.51400852
다희연포르테,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,노형동,노형동,5011066000,5011012200,제주특별자치도 제주시 노형동 931,제주특별자치도 제주시 원노형6길 7,63082,126.4830862,33.48534832
하루이야기,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,한림읍,한림읍,5011025000,5011025024,제주특별자치도 제주시 한림읍 한림리 1303-8,제주특별자치도 제주시 한림읍 한림로12길 1,63030,126.265223,33.41519022
물항과허벅,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,연동,연동,5011065000,5011013700,제주특별자치도 제주시 연동 251-8,제주특별자치도 제주시 제원1길 23,63129,126.486891,33.48928961
세화축산.수산물판매장,소매,음/식료품소매,수산물소매,수산물 소매업,제주특별자치도,제주시,노형동,노형동,5011066000,5011012200,제주특별자치도 제주시 노형동 938,제주특별자치도 제주시 원노형로 46,63082,126.484704,33.48450261
신엄1980,숙박,캠프/별장/펜션,캠프/별장/펜션,기타 관광숙박시설 운영업,제주특별자치도,제주시,애월읍,애월읍,5011025300,5011025326,제주특별자치도 제주시 애월읍 신엄리 2552-1,제주특별자치도 제주시 애월읍 신엄안3길 21,63047,126.3647739,33.47407973
제라진,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,서귀포시,중문동,중문동,5013061000,5013011200,제주특별자치도 서귀포시 중문동 1918-4,제주특별자치도 서귀포시 1100로 6,63540,126.4319643,33.25143835
커피마마,음식,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,제주특별자치도,제주시,연동,연동,5011065000,5011013700,제주특별자치도 제주시 연동 272-50,제주특별자치도 제주시 연동7길 8,63124,126.4906909,33.4891917
홍익제주호텔,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,한림읍,한림읍,5011025000,5011025031,제주특별자치도 제주시 한림읍 협재리 1165,제주특별자치도 제주시 한림읍 일주서로 5125,63011,126.2534798,33.39175672
재연농장,소매,음/식료품소매,청과물소매,과실 및 채소 소매업,제주특별자치도,서귀포시,표선면,표선면,5013032000,5013032022,제주특별자치도 서귀포시 표선면 하천리 329-4,제주특별자치도 서귀포시 표선면 하천달산로 12,63627,126.8448331,33.34200333
팡,음식,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,제주특별자치도,제주시,삼양동,삼양이동,5011061000,5011011400,제주특별자치도 제주시 삼양이동 2118-13,제주특별자치도 제주시 지석11길 23,63319,126.5839759,33.52312846
광스쿡스,음식,양식,정통양식/경양식,서양식 음식점업,제주특별자치도,제주시,구좌읍,구좌읍,5011025600,5011025628,제주특별자치도 제주시 구좌읍 세화리 1477-10,제주특별자치도 제주시 구좌읍 세화7길 23-6,63361,126.8607185,33.52407189
올레프로방스펜션,숙박,캠프/별장/펜션,캠프/별장/펜션,기타 관광숙박시설 운영업,제주특별자치도,제주시,애월읍,애월읍,5011025300,5011025321,제주특별자치도 제주시 애월읍 광령리 2807-27,제주특별자치도 제주시 애월읍 광령평화2길 170-13,63064,126.4342549,33.43000699
구름비낭펜션,숙박,캠프/별장/펜션,캠프/별장/펜션,기타 관광숙박시설 운영업,제주특별자치도,제주시,한경면,한경면,5011031000,5011031024,제주특별자치도 제주시 한경면 판포리 2606-1,제주특별자치도 제주시 한경면 판포중2길 15,63003,126.2017187,33.3579311
아만토브펜션,숙박,캠프/별장/펜션,캠프/별장/펜션,기타 관광숙박시설 운영업,제주특별자치도,서귀포시,예래동,하예동,5013062000,5013012100,제주특별자치도 서귀포시 하예동 1831,제주특별자치도 서귀포시 예래로 446,63538,126.3704384,33.23569905
하나로국밥,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,건입동,건입동,5011059000,5011010700,제주특별자치도 제주시 건입동 1310-2,제주특별자치도 제주시 산지로 1-2,63278,126.5308855,33.51620809
비양축산,소매,음/식료품소매,정육점,육류 소매업,제주특별자치도,제주시,용담1동,용담일동,5011057000,5011010800,제주특별자치도 제주시 용담일동 2816-2,제주특별자치도 제주시 남성로 34,63175,126.5132516,33.50320441
제주사랑늘푸른,소매,음/식료품소매,청과물소매,과실 및 채소 소매업,제주특별자치도,서귀포시,중문동,대포동,5013061000,5013011400,제주특별자치도 서귀포시 대포동 768-2,제주특별자치도 서귀포시 중문관광로 296,63544,126.4298399,33.2466241
법인대동에프엔비,소매,음/식료품소매,육류소매,육류 소매업,제주특별자치도,제주시,용담2동,용담이동,5011058000,5011010900,제주특별자치도 제주시 용담이동 2635-3,제주특별자치도 제주시 서광로 113,63163,126.5086057,33.50051598
시골길,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,서귀포시,중문동,중문동,5013061000,5013011200,제주특별자치도 서귀포시 중문동 2116-1,제주특별자치도 서귀포시 천제연로 170,63546,126.4227528,33.25170052
우정회센타,음식,일식/수산물,횟집,한식 음식점업,제주특별자치도,서귀포시,중앙동,서귀동,5013053000,5013010100,제주특별자치도 서귀포시 서귀동 276-2,제주특별자치도 서귀포시 중앙로54번길 38,63591,126.5636351,33.24975617
현대바이오텍,소매,음/식료품소매,청과물소매,과실 및 채소 소매업,제주특별자치도,제주시,조천읍,조천읍,5011025900,5011025924,제주특별자치도 제주시 조천읍 함덕리 750,제주특별자치도 제주시 조천읍 함덕남12길 115-6,63334,126.6701988,33.52730294
제주일성콘도미니엄1,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,한림읍,한림읍,5011025000,5011025033,제주특별자치도 제주시 한림읍 금능리 1625,제주특별자치도 제주시 한림읍 한림로 127,63010,126.2211771,33.38577141
녹두네,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,노형동,노형동,5011066000,5011012200,제주특별자치도 제주시 노형동 939-7,제주특별자치도 제주시 원노형로 42,63082,126.4847698,33.48505337
카페다빈치제주점,음식,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,제주특별자치도,제주시,노형동,노형동,5011066000,5011012200,제주특별자치도 제주시 노형동 725-1,제주특별자치도 제주시 연북로 36,63085,126.4852269,33.48166004
리치망고,음식,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,제주특별자치도,제주시,연동,연동,5011065000,5011013700,제주특별자치도 제주시 연동 1399,제주특별자치도 제주시 국기로 14,63138,126.4892973,33.48022214
헨젤과그레TEL펜션,숙박,캠프/별장/펜션,캠프/별장/펜션,기타 관광숙박시설 운영업,제주특별자치도,제주시,애월읍,애월읍,5011025300,5011025342,제주특별자치도 제주시 애월읍 유수암리 2466-1,제주특별자치도 제주시 애월읍 유소길 14,63067,126.3956318,33.43119926
한라면옥,음식,한식,냉면집,한식 음식점업,제주특별자치도,제주시,이도2동,이도이동,5011054000,5011010400,제주특별자치도 제주시 이도이동 1078-3,제주특별자치도 제주시 오복2길 17,63223,126.5361405,33.494326
영영,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,용담1동,용담일동,5011057000,5011010800,제주특별자치도 제주시 용담일동 306-10,제주특별자치도 제주시 서문로 1,63155,126.5120774,33.50956441
동희,음식,일식/수산물,횟집,한식 음식점업,제주특별자치도,제주시,용담2동,용담이동,5011058000,5011010900,제주특별자치도 제주시 용담이동 447,제주특별자치도 제주시 흥운길 89,63152,126.5135017,33.51564005
미미즈쿠,음식,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,제주특별자치도,제주시,일도2동,일도이동,5011052000,5011010200,제주특별자치도 제주시 일도이동 367-6,제주특별자치도 제주시 동광로 114,63275,126.5395435,33.50633908
영해식당,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,서귀포시,대정읍,대정읍,5013025000,5013025022,제주특별자치도 서귀포시 대정읍 하모리 923-4,제주특별자치도 서귀포시 대정읍 하모상가로 34-2,63508,126.2525291,33.22139527
제주특산쇼핑,소매,선물/팬시/기념품,토산품/기념품점,관광 민예품 및 선물용품 소매업,제주특별자치도,제주시,연동,연동,5011065000,5011013700,제주특별자치도 제주시 연동 174-3,제주특별자치도 제주시 연삼로 51,63148,126.4981305,33.49391617
오감이즐거운닭갈비,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,서귀포시,중문동,중문동,5013061000,5013011200,제주특별자치도 서귀포시 중문동 2128-1,제주특별자치도 서귀포시 중문상로17번길 4,63546,126.4240659,33.25028364
해진횟집,음식,일식/수산물,횟집,한식 음식점업,제주특별자치도,제주시,건입동,건입동,5011059000,5011010700,제주특별자치도 제주시 건입동 1435-2,제주특별자치도 제주시 서부두길 22,63276,126.5285367,33.51825382
늘바다통나무펜션,숙박,캠프/별장/펜션,캠프/별장/펜션,기타 관광숙박시설 운영업,제주특별자치도,서귀포시,안덕면,안덕면,5013031000,5013031022,제주특별자치도 서귀포시 안덕면 창천리 901-6,제주특별자치도 서귀포시 안덕면 대평로 38,63533,126.3636723,33.23723306
오방네호반닭갈비,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,연동,연동,5011065000,5011013700,제주특별자치도 제주시 연동 255-6,제주특별자치도 제주시 신광로10길 22,63132,126.4873813,33.48398536
골프존클럽하우스,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,노형동,노형동,5011066000,5011012200,제주특별자치도 제주시 노형동 2579-3,제주특별자치도 제주시 월랑로 51,63100,126.4748002,33.48971838
웰빙,소매,음/식료품소매,청과물소매,과실 및 채소 소매업,제주특별자치도,서귀포시,남원읍,남원읍,5013025300,5013025325,제주특별자치도 서귀포시 남원읍 의귀리 1837-1,제주특별자치도 서귀포시 남원읍 한신로143번길 85,63618,126.7062263,33.31801498
서귀포농협유통자재센타,소매,음/식료품소매,청과물소매,과실 및 채소 소매업,제주특별자치도,서귀포시,영천동,토평동,5013056000,5013011100,제주특별자치도 서귀포시 토평동 2283-1,제주특별자치도 서귀포시 516로 125,63604,126.5827121,33.26450008
미도리농장,소매,음/식료품소매,청과물소매,과실 및 채소 소매업,제주특별자치도,제주시,애월읍,애월읍,5011025300,5011025330,제주특별자치도 제주시 애월읍 하가리 285-1,제주특별자치도 제주시 애월읍 신엄2길 76-10,63036,126.362165,33.46179322
연정,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,연동,연동,5011065000,5011013700,제주특별자치도 제주시 연동 256,제주특별자치도 제주시 신광로10길 29,63137,126.4868256,33.48377121
다솜,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,이도1동,이도일동,5011053000,5011010300,제주특별자치도 제주시 이도일동 1688-7,제주특별자치도 제주시 광양2길 35,63198,126.5267414,33.50351883
가품육개장,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,노형동,노형동,5011066000,5011012200,제주특별자치도 제주시 노형동 944-20,제주특별자치도 제주시 원노형로 53,63084,126.4850607,33.48379473
연주반점,음식,중식,중국음식/중국집,중식 음식점업,제주특별자치도,서귀포시,송산동,서귀동,5013051000,5013010100,제주특별자치도 서귀포시 서귀동 786-3,제주특별자치도 서귀포시 부두로 55,63596,126.5645021,33.24004679
다소니,음식,커피점/카페,전통찻집/인삼찻집,비알콜 음료점업,제주특별자치도,제주시,오라동,오라일동,5011064000,5011011900,제주특별자치도 제주시 오라일동 995-9,제주특별자치도 제주시 오남로6길 18-6,63146,126.5171309,33.4909174
지니아펜션,숙박,캠프/별장/펜션,캠프/별장/펜션,기타 관광숙박시설 운영업,제주특별자치도,제주시,애월읍,애월읍,5011025300,5011025335,제주특별자치도 제주시 애월읍 납읍리 2044,제주특별자치도 제주시 애월읍 납읍동3길 53-46,63035,126.3275007,33.44372315
오이제해장국,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,삼도2동,삼도이동,5011056000,5011010600,제주특별자치도 제주시 삼도이동 108-2,제주특별자치도 제주시 관덕로6길 11,63168,126.522259,33.51207545
푸른들축산유통,소매,음/식료품소매,육류소매,육류 소매업,제주특별자치도,제주시,한림읍,한림읍,5011025000,5011025035,제주특별자치도 제주시 한림읍 한수리 822-2,제주특별자치도 제주시 한림읍 한림로 775,63031,126.2658569,33.42332195
영평원두막가든,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,아라동,영평동,5011063000,5011013600,제주특별자치도 제주시 영평동 807-4,제주특별자치도 제주시 영평길 185-1,63308,126.5727131,33.48465499
파인휴게소,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,제주시,애월읍,애월읍,5011025300,5011025336,제주특별자치도 제주시 애월읍 어음리 3914,제주특별자치도 제주시 애월읍 평화로 1738-116,63041,126.3799682,33.37140239
블랙,음식,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,제주특별자치도,서귀포시,천지동,서귀동,5013054000,5013010100,제주특별자치도 서귀포시 서귀동 296-9,제주특별자치도 서귀포시 중앙로59번길 4,63592,126.5612375,33.25004402
원테이블,음식,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,제주특별자치도,서귀포시,대륜동,법환동,5013059000,5013010200,제주특별자치도 서귀포시 법환동 237,제주특별자치도 서귀포시 법환로 14,63573,126.513861,33.23680125
대봉식당,음식,한식,해장국/감자탕,한식 음식점업,제주특별자치도,제주시,외도동,외도일동,5011067000,5011012300,제주특별자치도 제주시 외도일동 405-6,제주특별자치도 제주시 일주서로 7330,63069,126.4304159,33.49268918
동하동해녀계절음식점,음식,한식,한식/백반/한정식,한식 음식점업,제주특별자치도,서귀포시,표선면,표선면,5013032000,5013032021,제주특별자치도 서귀포시 표선면 표선리 40-22,제주특별자치도 서귀포시 표선면 민속해안로 474,63629,126.8426617,33.31773796
동강,음식,중식,중국음식/중국집,중식 음식점업,제주특별자치도,제주시,이도2동,이도이동,5011054000,5011010400,제주특별자치도 제주시 이도이동 1021,제주특별자치도 제주시 신성로10길 33,63206,126.5307211,33.49409056
오랜지여관,숙박,모텔/여관/여인숙,모텔/여관/여인숙,여관업,제주특별자치도,제주시,이도1동,이도일동,5011053000,5011010300,제주특별자치도 제주시 이도일동 1775-11,제주특별자치도 제주시 광양2길 1,63198,126.5277554,33.50083518
트멍농수산,음식,일식/수산물,음식점-일식,일식 음식점업,제주특별자치도,서귀포시,성산읍,성산읍,5013025900,5013025930,제주특별자치도 서귀포시 성산읍 신천리 544-1,제주특별자치도 서귀포시 성산읍 신천로15번길 16-4,63637,126.8530372,33.34551462
처갓집앤피자클레스용담,음식,패스트푸드,피자전문,"피자, 햄버거, 샌드위치 및 유사 음식점업",제주특별자치도,제주시,용담2동,용담이동,5011058000,5011010900,제주특별자치도 제주시 용담이동 2678-1,제주특별자치도 제주시 용문로 162,63161,126.5107884,33.5087916
명성여관,숙박,모텔/여관/여인숙,모텔/여관/여인숙,여관업,제주특별자치도,제주시,한림읍,한림읍,5011025000,5011025024,제주특별자치도 제주시 한림읍 한림리 1303-13,제주특별자치도 제주시 한림읍 한림로12길 3,63030,126.2653952,33.41518361
